baseline,n_qa,recall@5,mrr,hit@1,hit@5,ndcg@5,judge_relevance,judge_completeness,judge_correctness
B1_dense,20,0.0,0.0,0.0,0.0,0.0,3.1,2.4,2.0
B2_bm25,20,0.0,0.0,0.0,0.0,0.0,3.65,2.8,2.65
B3_hybrid,20,0.0,0.0,0.0,0.0,0.0,3.25,2.55,2.05
B4_clip,20,0.0,0.0,0.0,0.0,0.0,3.25,2.5,1.95
B5_kg,20,0.0,0.0,0.0,0.0,0.0,3.75,3.05,2.7
B6_full,20,0.0,0.0,0.0,0.0,0.0,3.65,3.1,2.7
A1_no_rerank,20,0.0,0.0,0.0,0.0,0.0,3.5,2.8,2.5
